song,year,artist,genre,lyrics
enigrammatic-dream,2007,fall,Metal,me modern modernin water lane 01715599 dream sat may tent tomato blackpool jimmi bloomfield brought back host joust modernin one mani footbal ground convert hold reviv sport voic today forthwith joust modernin me joust modernin char landscap watch femal bout begin tent bedeck terrac exclaim aloud drafti girl certainli catch death cold shove left beard steward everi movement companion catch reprimand complet deaf gaug voic volum larg tomato gold beig stripe tent plunk brand new soccer terrac seem symbolis clean shaven new decad lancashir northern western quarter seem materialis overnight citizen plump voyeurist slowli watch everi movement anybodi anyth bless uncanni abil blend friend matthew lucki wife home last hospit first day alway energet shout obvious thought drunk massiv decrepit jaguar car soccer terrac seem symbolis new clean shaven chip greasi new decad lancashir northern western quarter seem materialis overnight citizen plump voyeurist slowli watch everi movement reason make new york look athen lnwq read east read sparta
plug-myself-in,2007,fall,Metal,hey ahmmmmmm hup dictum shout wey convict secur seem plug mob equal roam ring answer dri hump clip clop applianc broken nobodi around fix seem plug round lilac propos colour droplet sweet molass droplet spacebag jet lag
sing-harpy,2007,fall,Metal,harpi top whose hair contain red thin white skeleton good bed mother circu put junior show time father much wors put line littl villag without malic left moor behind beig heather pack placki bag block brown cannabi took lousi wednesday turn cold spring got taller minut could sell anyth morn quit astonish grip like hawk talon quit famish ascend harpi sing harpi descend harpi give harpi
city-dweller,2007,fall,Metal,dictum vestig euro bore random good life bow tyrant gone christian gang chant sweet region keep head moment avoid dismantl old head stuck bloodi plant pot look forget endless drive natur citi dweller must base organ mud well welcom get citi mediocr pseud take red tie bastard put olymp flag walk around leer young girl pack wors yob januari 20th euro bore support media keep olymp bid citi dweller backward ever know cab driver want cab driver citi dweller hillbilli cab driver submerg psych averag cab driver love knock penc wander casual day dull dull agricultur gang chant sweet freedom get citi mediocr pseud take red tight bastard citi dweller rememb noth wors half educ grim red dwarf citi dweller cut cab driver cab driver cab driver leav poxi card cab driver much drink mani drug much sex young
wigan-soul-poem,2007,fall,Metal,north soul boy flunk music colleg northwest boy instrument compulsori wigan soul boy rare disk knowledg marri soul man reform charact shadow man must gramm known mous alway ask time still soul boy hate midnight runner boy wigan orat kid stuff rough boy buan everi pub piss freak till lost nerv give soul never get back catch bu boy run wife run wife
lost-in-music,2007,fall,Metal,money sur tabl money sur tabl palac excess lead palac access hideaway lost music feel aliv hideaway sur tabl lost music caught trap look back money sur tableau brick hous refurbish pub hideaway lost music caught trap look back lost music lost music feel aliv quit ten five lost music lost music lost music hideaway snag tabl top snag dip dip refurbish pub hideaway heard voic say lost music turn back caught trap lost music lost music caught trap look back lost music argent est sur tabl pri pieg inutil regard arrier perdu dan musiqu cretin fair foutr lost music feel aliv quit ten five lost music
behind-the-counter,2007,fall,Metal,alway hit get thin wait want behind counter hen centr alway pick tuck shop got time dinner tea behind counter everi car see alway pick take left turn cross guarante park pavement paid park pavement say wait sir wait sir would better wait sir guarante get thin idiot write rock book dispar group cold would play nose pin punk piggi quit make say get behind counter side counter chill boy side counter
black-monk-theme-part-i,2007,fall,Metal,hey woman hey know hate babi make make hate babi maladjust littl monkey hate passion know babi know hate babi make make bastard birthday power drill stone built renov stone blast screw ill babi come hey bug bug bug bug buggerlug cranki mare short ars come firm guitar hey bastard power drill dog bark renov stone blast bto make grub tissu ray way seep sleep drill scaffold start power drill dog bark renov stone blast screw come make hate babi black monk theme
yes-o-yes,2007,fall,Metal,ye stretch stretch god reject make best swivel head burn ash ordur planet could extinguish angel devil sun good natur barrack children cross day night angel devil sun ye ye
guide-me-soft,2007,fall,Metal,william gloriou repress articul immacul gloriou revolut coast coast lord guid soft coast coast god guid soft come good come good pray guid soft pray guid soft coast coast lord guid soft coast coast god guid soft come good come good pray guid soft coast coast lord guid soft coast coast lord guid soft
